SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price_Range
2893,3,2,1,2014,6
2313,5,1,2,1980,6
2703,5,2,3,2002,7
2070,5,1,1,2000,5
1974,5,2,2,1960,6
2738,3,1,2,1984,5
2237,3,1,1,1974,5
1757,2,2,2,2001,5
2047,3,3,2,2017,6
1320,5,1,3,1988,3
1273,4,2,1,2017,4
1555,3,3,1,2004,4
1843,5,3,3,2012,4
2336,2,3,2,1953,6
2386,3,3,1,1957,5
1667,4,1,1,1996,4
1999,5,1,1,2009,5
1379,3,1,1,2005,4
1710,5,3,2,1958,4
2942,4,1,3,2017,5
2697,4,2,3,1985,7
2930,2,3,3,1987,6
2493,4,2,2,1969,6
1745,3,3,2,1999,4
1674,4,2,1,1951,4
1115,3,2,2,1960,2
1604,3,2,3,1955,4
2065,5,1,3,1964,5
2819,3,1,2,1954,7
1378,3,3,1,1995,3
2745,2,1,3,2018,7
2229,5,1,2,1988,3
1465,3,1,3,2005,3
2755,2,3,1,1957,7
1279,5,3,3,1958,3
2671,4,1,3,2008,8
1617,3,3,2,1977,5
1117,4,3,3,2004,4
2260,5,3,3,2010,4
1308,5,1,2,1989,5
2479,2,1,3,2012,5
2923,3,2,2,1969,7
2498,3,2,1,2001,5
1099,2,2,1,2004,4
1260,4,3,1,1976,4
1992,5,2,1,1983,6
2328,2,2,1,1975,6
2377,5,3,2,2004,7
1285,4,3,2,1980,3
1327,4,1,3,2013,3
2126,4,2,3,1966,5
1062,3,1,1,1996,4
1686,5,3,1,2013,5
2305,5,2,3,1978,5
2464,2,2,1,1967,7
2316,5,2,2,1958,6
1737,3,1,2,1968,5
2030,2,2,1,2008,4
1638,4,1,2,1954,5
1935,5,1,3,1957,6
2115,3,3,2,1999,7
2958,3,2,1,2011,6
2213,5,1,2,1958,4
2894,3,2,1,1962,7
1475,4,2,1,1990,3
2534,5,3,2,1971,7
2485,5,1,1,1960,8
1052,5,1,2,1968,3
1753,2,3,3,2001,4
1485,4,1,1,1974,3
2667,3,1,1,1978,6
2513,5,1,1,2011,7
2387,5,3,3,1957,6
2135,3,1,2,1994,7
1408,4,2,2,1959,5
2030,3,3,3,1963,5
2765,3,3,1,2008,6
1667,5,3,3,1973,3
2220,2,1,2,1965,7
1834,2,3,1,1999,4
1875,2,1,2,1979,6
2758,2,2,3,2001,6
1366,2,3,3,1951,2
2001,5,3,1,1983,5
1249,2,3,3,1964,4
2939,3,2,3,1985,5
2618,5,1,1,1962,7
2263,3,3,3,1954,6
1379,2,2,1,1984,2
2930,4,1,3,1992,6
1871,2,3,3,1957,4
1834,5,1,3,1956,5
2494,3,3,3,1998,5
1774,4,2,2,1964,6
1918,4,1,1,2011,5
2724,4,2,3,1968,7
1454,3,3,1,1988,5
1365,5,2,1,1950,3
2313,4,1,2,1966,6
2897,3,1,3,1973,7
1402,3,3,3,1978,3
1057,2,1,2,1990,2
1520,3,3,3,2011,5
2327,5,2,2,1960,5
2138,5,2,3,1954,5
1209,4,2,2,1995,5
2064,3,3,2,1968,7
1815,3,2,1,2004,4
1172,2,3,2,1994,3
1233,2,2,3,2009,5
1792,3,2,3,1956,6
2907,3,1,3,1998,8
2613,3,2,2,1990,7
2643,2,2,3,1985,6
1792,2,3,2,2006,3
2426,5,1,2,1976,5
2062,4,3,2,1996,6
1118,4,2,3,2003,3
1334,4,2,2,1989,2
2359,4,1,3,1973,6
2562,2,2,3,2008,7
2639,2,3,1,1986,9
2097,3,3,2,1962,4
2214,5,1,3,2020,6
1323,5,2,3,1969,3
2010,4,1,2,1975,5
2170,3,2,2,2005,4
2790,3,2,1,1989,5
1283,2,2,3,2005,3
1212,3,3,1,2010,4
2658,5,1,2,1966,5
2741,5,3,2,2007,5
1928,3,3,3,2013,6
1751,2,3,1,1982,4
2417,5,1,1,2005,5
1338,2,3,1,1991,3
2821,2,3,1,1980,5
2045,5,2,2,1996,4
2794,2,2,2,1969,8
2892,4,3,3,1992,7
1104,4,1,2,1965,3
2489,4,3,2,2019,5
2482,3,1,3,1961,7
2455,5,2,2,1966,6
1769,4,1,3,2014,6
1715,2,3,2,2011,4
2845,4,2,2,2021,6
2797,2,1,1,2020,5
2642,5,3,3,2008,7
1762,4,3,1,1952,6
2959,5,1,1,1983,6
2244,4,1,1,1964,6
1378,2,1,1,2014,3
2245,2,3,1,2003,7
2281,3,2,3,2013,5
1712,3,2,1,1958,5
2390,3,3,3,2001,7
2793,4,1,1,1997,6
2372,5,3,2,1968,5
1224,4,3,2,2005,3
2737,2,3,2,1971,6
1737,5,3,2,1955,5
1235,2,2,3,2016,3
1182,3,1,1,1951,4
1711,2,3,3,1984,4
2892,4,3,3,1953,6
2781,2,1,3,2008,6
1443,2,1,1,1963,5
2888,2,3,2,2005,8
1622,5,3,2,1995,5
2029,2,1,3,1980,7
2259,2,1,2,2014,5
2150,3,2,2,1994,7
2127,3,3,1,1992,6
1748,4,1,3,2020,4
2938,3,1,3,1965,4
2503,2,2,3,2021,6
1154,3,2,3,2002,3
1256,5,1,2,2007,2
1234,4,3,2,1986,3
1499,3,3,2,1970,4
1288,4,3,3,2020,4
1509,4,2,1,1985,3
2575,4,1,2,2005,6
2823,5,1,3,1984,6
1708,2,2,3,1992,4
1784,5,3,3,2019,3
1893,4,1,2,1950,4
1775,3,3,3,1996,5
2592,3,1,1,1964,5
1297,5,2,2,1958,4
2633,3,2,2,1958,6
1136,4,3,3,1956,4
1375,4,2,2,1991,4
1086,2,1,3,2018,3
2442,4,2,3,1955,6
2777,3,3,3,1989,7
2222,2,2,2,1976,4
2486,3,1,3,1987,5
1436,5,2,1,2021,4
2333,2,1,3,1950,6
2619,4,3,3,1950,6
2777,2,1,2,1963,7
2304,4,2,3,1970,7
2346,4,2,2,2000,7
1763,3,3,2,2004,3
1701,4,2,2,2009,6
2974,4,3,1,1967,8
1941,4,3,1,1987,5
1151,3,1,1,1985,3
2325,4,2,1,1957,6
2301,5,1,2,2020,6
2674,3,3,1,1952,7
2711,5,3,2,1957,6
2031,2,3,1,1979,4
1806,3,1,1,1989,6
1234,5,1,1,1989,4
1674,3,3,3,1992,4
1560,4,2,3,2017,4
2325,3,2,3,1952,6
1037,2,2,2,1968,3
2159,5,3,1,1970,4
1821,3,3,3,2018,6
1420,4,2,2,1974,6
2242,5,1,3,1966,6
1347,5,2,2,1970,5
2831,5,1,2,2015,5
2569,2,2,3,1993,6
2887,4,3,2,1961,5
2102,4,2,3,2003,5
1747,5,1,1,1952,5
2918,3,1,1,2008,6
1272,5,2,2,2012,3
2184,4,3,3,2013,5
2710,2,3,1,2002,7
2901,2,1,2,1961,6
1307,5,3,1,2017,3
2397,2,2,3,1965,6
1975,2,1,2,2008,6
1732,3,1,2,1967,3
2032,2,2,2,1966,7
2824,3,2,2,2020,8
1443,5,2,2,1952,6
2136,4,3,1,1986,5
2228,4,3,2,1990,6
1404,3,3,1,1970,4
2721,4,2,1,2010,8
1852,5,3,2,1956,4
2220,4,3,2,1972,7
1777,2,2,3,1953,5
2797,5,2,3,1972,7
2783,5,2,3,1979,6
1114,4,1,1,2003,4
2144,4,2,3,1974,6
2676,3,2,1,1960,7
1064,2,3,1,2017,4
2299,4,1,1,1955,6
1824,4,3,2,1981,6
1238,3,1,1,1953,2
1301,4,2,3,1958,5
2415,2,1,3,1992,4
2545,2,2,3,1959,6
1968,5,1,3,2013,3
1368,5,3,1,1977,4
1232,2,1,3,1998,4
1194,3,1,1,1996,2
1906,5,2,2,1962,7
2035,2,3,3,1981,3
2929,2,3,1,2002,6
1920,5,2,1,1987,3
1688,2,2,1,1993,4
1176,2,3,3,2003,2
1216,2,1,3,1967,2
2034,2,3,3,2020,7
2469,5,3,1,1963,4
1629,3,3,1,2008,3
1163,2,2,2,2001,1
2574,4,2,1,2013,7
1052,3,1,1,1990,4
1217,4,1,2,1955,2
2741,4,3,3,2014,7
1998,2,2,1,1982,6
1823,5,3,2,1959,5
2383,4,2,1,1999,4
1384,4,3,2,1991,3
1055,4,1,3,2012,3
1117,2,3,1,1989,2
1899,2,2,2,1960,3
2276,5,2,3,1993,7
1797,2,3,2,1950,5
1779,3,1,2,1973,6
2015,5,3,1,1996,7
1802,2,3,3,1980,4
1844,2,2,1,2012,2
2203,4,2,3,1962,6
2438,2,1,1,1987,4
2893,4,3,3,2017,7
2258,2,1,2,1974,6
1854,2,3,3,2013,4
1707,2,1,2,1991,5
2843,2,3,2,1995,7
2103,2,1,1,1966,4
2670,5,3,3,1955,5
1021,2,2,1,1985,3
2500,2,3,3,2006,6
1842,4,3,3,1967,5
2463,3,2,1,2010,6
2760,3,3,3,2000,8
2593,5,1,1,1991,5
2116,2,3,2,2020,5
1191,3,1,2,1978,3
2018,4,2,3,1951,6
2126,4,1,1,1988,6
1395,5,2,3,1953,4
2030,4,1,2,1957,8
1639,3,2,3,2021,4
2018,3,3,2,1977,4
1566,3,1,2,2004,6
1230,2,2,2,1953,3
1873,4,3,1,1973,4
1573,4,3,1,1957,4
1239,2,2,2,2014,2
1089,3,2,2,1980,4
1231,4,1,2,1973,4
1456,3,2,2,2010,5
1232,2,3,1,1975,3
1353,3,2,1,2012,3
2004,5,1,1,2001,5
2356,2,1,1,1994,3
1438,3,1,3,1967,5
2398,2,1,3,2005,4
2315,4,1,1,1985,7
1344,5,1,3,1987,4
1663,2,2,2,2003,3
2451,3,1,3,1973,7
1656,4,2,1,1970,4
1129,3,2,1,2020,3
1140,3,3,2,1994,4
1414,2,2,1,1955,5
2116,2,2,1,1995,5
1625,3,2,1,2003,4
1283,2,1,1,1982,4
2979,3,2,1,1970,7
2946,2,3,1,2013,7
2678,5,2,3,1970,5
1222,2,1,1,1999,4
1743,3,2,2,1958,4
1462,4,1,3,2010,4
2568,2,1,1,1979,6
2299,5,1,3,1999,5
2705,5,2,1,1977,7
2163,5,2,1,2020,7
1356,5,2,3,1972,6
2736,3,3,3,2004,6
2046,5,3,2,1974,4
2991,4,1,3,1964,7
2759,2,3,1,1952,6
2903,5,2,1,1967,7
2293,2,2,2,2018,5
1858,3,2,3,1965,5
1664,2,3,3,1973,3
2356,3,1,2,1986,6
2014,3,3,3,1980,5
1084,2,1,3,1993,2
1620,5,2,3,1970,6
2054,4,1,3,1971,6
2764,2,3,1,1994,5
1239,4,3,3,1982,2
2913,2,3,2,2010,7
1362,4,2,2,1965,4
1821,2,2,2,1960,4
2412,4,3,3,2006,6
2676,4,2,1,1985,6
1667,2,3,2,1986,3
2322,2,1,2,1986,6
2880,3,1,1,1961,8
2394,4,2,2,1995,5
1098,2,2,3,1993,2
1046,5,2,2,2017,3
1838,5,2,3,1986,4
1421,3,1,1,1972,5
2503,5,3,1,1968,5
2602,2,3,2,1999,6
1061,4,2,3,1956,2
2132,2,3,1,1981,5
2702,5,2,2,2020,6
2572,5,3,2,1989,4
2142,2,2,2,1955,4
2009,3,2,1,1981,5
1597,2,3,3,1958,3
2405,3,2,3,1993,6
1391,5,3,3,1998,4
1976,4,1,2,1975,7
2075,4,2,3,2001,6
1602,2,2,1,1984,3
2312,3,1,2,1969,4
1336,5,2,1,1992,5
1809,4,1,1,2002,3
2227,2,3,1,2003,6
2903,2,1,3,1968,8
2261,5,3,2,2016,6
2405,5,1,2,1997,7
2690,2,1,1,1960,7
1751,2,1,2,1976,5
2159,2,2,2,2017,4
2430,3,2,3,1994,8
2531,5,2,2,2010,8
2385,2,2,1,1984,5
2404,5,3,2,1951,6
1880,2,1,1,1959,5
2599,2,3,2,1969,7
1634,2,1,1,2008,6
1253,5,1,1,2018,4
2500,2,3,2,1967,6
2137,2,1,1,2018,5
1019,5,2,3,1987,3
1527,2,2,3,1968,5
2168,4,3,1,1958,6
2231,4,3,1,1967,5
2554,2,3,1,2003,6
1375,3,2,2,1986,4
2527,5,1,3,2013,6
2927,2,3,2,2004,5
1165,5,1,2,2016,3
2573,3,1,3,1952,7
2204,3,3,2,1962,6
1860,5,3,2,1954,6
1616,3,2,3,2000,5
1611,3,3,1,1968,6
2625,5,2,2,2011,6
2950,3,2,2,1976,7
2835,4,1,2,1974,4
2467,2,2,3,2003,5
2355,4,1,1,1994,6
1502,4,2,1,1961,5
1912,2,3,2,1958,5
1078,4,1,2,1976,2
1584,2,3,2,2003,6
2958,2,1,3,1975,6
2961,5,2,2,1982,5
1687,2,1,2,1977,2
1395,2,3,3,1966,5
2631,3,1,1,1968,7
2880,3,3,1,1989,7
2126,4,1,2,1991,5
1401,2,2,1,2000,2
1974,2,1,3,2012,3
1223,5,3,3,1995,2
1517,2,2,3,1972,4
1633,5,1,3,1968,6
1235,2,2,3,2006,2
2450,3,3,1,2008,6
1115,3,2,1,1974,4
2186,3,3,1,1980,4
1225,4,1,1,2020,4
1229,2,3,2,2020,4
1181,3,3,2,1968,3
2272,5,3,3,1976,7
2341,3,3,2,1983,6
2988,2,1,2,1987,8
1209,3,3,1,1971,3
2679,2,3,2,2020,7
2415,2,1,3,1987,4
2880,3,3,2,2020,6
1095,5,1,1,1980,3
1893,4,1,2,1986,4
2881,2,3,2,2008,6
1755,4,2,2,1981,5
2109,3,1,2,2021,5
1414,2,1,1,2012,4
1393,2,2,1,1966,6
1695,3,2,3,2006,4
2656,4,3,3,1967,6
1843,5,2,1,2012,4
2524,3,1,3,1997,6
1603,3,2,1,1987,4
1581,5,1,3,1954,6
2939,5,3,3,2006,7
1132,5,2,2,2004,3
1790,5,2,1,1989,7
1648,3,3,3,1952,4
2337,5,3,3,2014,4
2722,4,2,2,1964,6
1220,5,2,3,1987,2
1975,2,2,3,1952,5
2461,2,2,3,2007,6
2069,5,1,3,1966,6
2813,3,2,3,1954,6
2215,3,1,2,1998,6
2543,4,3,3,1994,8
2402,3,1,3,1997,6
1787,4,3,3,2009,6
1690,4,2,1,1959,5
2357,4,3,1,1954,7
1038,5,3,3,2019,3
2316,3,1,2,1990,6
1689,2,3,3,1972,4
1161,4,2,1,1966,3
2354,2,2,1,1996,5
2909,4,3,2,1955,8
2127,3,3,3,1950,5
1160,5,2,1,1986,3
2822,4,2,1,1961,8
2658,4,2,2,1954,6
2077,2,1,1,2016,5
2963,5,1,1,1952,7
2057,3,2,2,1953,6
1241,4,2,2,1954,2
1966,3,1,2,1972,6
1889,5,2,1,1985,5
1112,2,2,1,1958,2
2013,5,1,3,1969,6
1317,5,1,3,1981,5
1022,5,1,3,1978,3
2581,5,2,2,1997,7
1823,3,2,1,1986,5
2670,3,2,1,2019,7
2141,2,2,3,1967,6
1700,4,1,2,2013,4
2666,4,3,1,2010,5
2018,5,2,3,1964,4
2957,5,2,2,1970,8
2235,3,2,1,1997,6
2441,4,1,3,1961,5
2136,2,3,2,1963,4
2067,5,2,3,1983,5
1127,3,1,3,1971,5
1875,5,2,1,1974,4
1157,5,2,3,1982,2
2808,3,2,1,1985,8
1826,4,3,1,2014,5
2417,4,1,2,2019,6
2890,5,3,2,2001,6
1851,4,1,2,1969,4
1511,3,1,3,2019,4
2937,4,2,1,1960,7
1044,5,2,1,1969,2
2131,5,3,2,2018,5
1218,3,1,1,2016,4
1442,5,3,1,1980,5
2853,4,2,1,2012,6
1314,3,3,2,2006,4
1176,5,2,2,2001,4
1227,3,3,3,1983,3
2726,3,3,3,1993,6
2695,4,3,3,1972,6
2929,4,3,2,1974,8
1266,2,1,2,2015,3
1869,3,3,1,1971,4
1837,4,2,3,1990,6
2402,5,1,2,2015,6
1488,2,1,1,1975,5
1701,2,1,3,2009,4
1686,5,1,1,1980,5
2313,4,1,2,1982,8
1995,3,3,3,1963,5
1356,2,3,2,1973,2
2680,5,3,1,1992,6
2767,5,2,3,2004,7
1871,5,2,3,2018,5
2973,5,3,3,2006,8
1203,2,3,1,2015,2
2236,3,1,1,1961,4
1551,4,3,2,2006,4
2810,5,2,1,1992,7
1322,5,1,1,2010,3
1593,3,3,3,1978,6
1180,3,1,1,2003,4
1498,4,3,3,1979,4
2343,2,3,1,1987,6
1082,3,1,2,2015,2
1302,2,1,3,1998,6
1261,2,2,1,2002,3
1783,5,3,1,2014,4
2223,2,2,2,1967,7
2263,5,2,3,1976,5
1913,5,3,2,1966,5
1691,4,3,2,1959,4
1943,2,2,2,2004,3
1682,3,2,2,2017,5
2318,3,2,1,1960,6
2535,3,3,1,2009,7
1688,4,1,2,2014,4
2904,5,3,2,1981,5
1395,5,2,1,2019,4
2772,3,1,3,1975,6
2161,5,3,1,1954,4
1838,5,1,1,1973,5
1877,4,1,1,1951,4
1822,2,2,2,1995,4
2152,2,3,2,1975,6
1048,4,3,2,1980,3
2699,4,1,2,1980,6
1788,5,3,3,1969,6
1292,4,3,1,1976,4
2651,5,3,3,2011,7
1535,2,3,2,1968,2
1310,4,2,1,1977,2
1536,5,2,2,2005,3
2926,2,3,3,1995,7
1638,2,3,3,1963,5
1233,3,3,2,2019,2
2232,2,3,3,1956,4
1604,4,3,2,1968,5
1093,4,2,2,2007,2
1326,5,1,3,1984,3
1224,4,1,3,1980,4
1966,2,1,2,1987,2
1889,5,2,2,2021,5
2815,2,2,2,1995,8
1010,3,3,1,2004,3
2352,5,2,3,1987,6
2035,3,2,3,1969,6
1034,5,3,3,1986,4
1446,4,3,3,1976,2
2475,2,3,3,1977,4
2763,5,1,2,1951,7
2243,4,1,2,2005,4
1440,4,3,1,1973,4
1652,4,3,3,2008,5
2558,3,1,2,1980,6
1594,4,3,3,1951,3
1228,5,3,1,1986,4
2958,3,1,1,2010,6
1343,2,2,1,1981,3
2103,4,3,2,2020,5
2376,5,1,1,2012,5
2419,5,1,3,1959,7
2313,3,1,1,2000,7
2478,2,2,1,1953,6
2866,3,3,1,1985,6
2694,4,3,3,1980,6
1988,2,3,3,2011,4
2151,2,2,1,1965,5
2725,2,1,2,2005,5
1908,3,1,2,1958,5
2566,5,3,2,1999,6
2921,3,2,1,1950,6
2382,5,1,1,1995,7
1526,3,2,2,1956,3
2336,5,3,2,1995,5
1074,5,2,2,1976,2
2569,2,3,3,1967,9
2894,5,2,3,2019,7
1195,4,2,2,1973,5
2866,4,1,3,1975,7
1028,5,1,3,1957,3
1705,5,2,1,1989,4
2020,5,1,3,2020,5
1015,5,3,1,1983,3
2446,2,3,1,2008,6
2612,4,1,2,1964,8
1804,2,1,3,1961,5
2616,4,1,2,1955,7
2428,5,2,1,1990,7
1939,4,2,3,1977,3
2659,4,3,2,1974,6
2554,3,2,2,1954,7
1966,3,1,2,1973,4
2637,5,2,1,1978,5
2927,2,2,2,1978,6
2100,3,2,2,1961,6
1228,5,1,3,1957,5
1961,2,2,1,2000,5
2320,3,2,1,1996,6
2533,4,2,3,1995,6
1714,3,1,2,1951,5
1983,5,2,2,1997,4
2989,3,3,3,1999,5
1572,3,3,3,1980,4
2561,2,1,1,2015,7
2606,2,1,3,1998,7
1614,4,2,2,1990,4
1325,5,1,2,1961,3
2386,4,2,2,1952,6
2692,4,2,1,2016,8
1874,3,2,2,1974,6
1358,4,2,3,1973,5
2729,2,1,1,1989,5
2810,4,3,1,1980,8
1323,5,1,1,1952,3
2721,4,2,2,1959,6
2349,5,3,3,2013,7
2648,5,2,1,1971,7
2848,4,2,1,1966,7
1164,4,2,1,1990,4
2596,4,2,3,2001,6
2627,5,3,3,1953,8
1797,2,1,2,2001,6
1454,3,1,3,1967,5
2992,4,1,2,2000,8
2176,3,3,3,1954,4
2760,4,3,2,2004,6
2150,5,1,2,1991,5
1192,5,3,2,1983,4
1626,3,2,1,1990,5
2797,2,1,2,2018,6
1529,5,2,1,1952,5
2033,3,3,3,1981,5
1091,5,2,1,1993,2
1138,4,3,2,2009,2
1480,3,1,1,2014,3
1448,3,1,2,1951,2
2356,4,1,1,1994,4
1868,3,3,3,1957,6
1339,4,2,1,2007,5
2984,2,3,2,2000,6
2075,4,2,1,2005,6
2730,2,3,2,2016,8
1465,3,2,2,1973,4
1717,4,1,3,1972,3
1798,3,2,2,1971,4
1474,2,2,2,2015,3
1400,5,1,3,1962,3
2462,5,3,2,1958,5
2901,5,2,1,1972,5
1604,5,3,3,1974,4
1931,5,2,3,1996,3
1996,2,2,2,2008,5
1921,5,3,2,2001,5
1820,5,2,3,1990,5
1656,3,2,1,1966,4
1597,4,3,2,1989,5
2532,4,3,1,1977,8
2176,4,3,2,1990,7
1513,4,3,2,1955,4
2526,2,2,3,1971,5
2877,4,1,3,1950,9
2924,3,3,1,1976,7
2795,2,3,3,1964,6
2699,5,2,1,1993,8
2029,3,1,1,1980,5
1499,3,1,3,2018,5
2684,5,3,1,2009,7
1716,5,3,3,1993,6
2141,3,1,1,1990,5
2508,2,1,1,2005,5
1600,5,3,2,2012,3
1665,4,1,3,1978,6
2974,3,2,3,1963,6
2702,3,1,3,1956,6
1467,5,1,3,1952,4
1160,5,1,2,2002,4
1269,4,1,2,1974,5
2079,4,2,2,1981,4
1227,4,2,2,2004,1
1848,4,1,3,1965,5
1148,3,1,1,1968,5
2069,5,1,3,2021,5
2167,2,2,3,1991,5
2773,5,3,2,1951,8
2807,5,1,2,1955,7
1631,4,3,3,1975,3
2363,4,2,3,2017,4
1412,3,1,1,1991,1
2755,4,2,2,1999,6
1519,3,1,1,1983,4
2367,5,3,3,2012,6
1386,5,3,2,1953,2
2496,5,1,3,1982,6
1274,3,1,2,2007,3
1352,3,3,1,2003,6
2089,3,2,1,1974,5
2102,4,1,2,1975,3
1597,2,2,1,1982,5
2659,4,1,1,2020,7
2225,2,1,3,2015,7
2685,4,1,2,2015,6
1557,5,3,3,1977,6
1112,3,3,1,1972,4
2114,4,1,3,1953,5
1140,3,2,1,1992,4
2312,4,1,1,1958,5
2924,5,2,3,1982,6
1729,3,1,3,1962,3
1588,5,2,2,2020,4
1410,2,2,2,1956,5
1376,3,1,3,1999,3
2407,4,1,1,1989,6
2869,3,1,1,2002,7
2175,2,3,2,1987,6
2858,2,2,3,1984,6
1750,4,1,2,1994,4
1626,5,3,2,1953,4
2342,3,1,3,2008,7
2392,5,3,1,1999,7
2629,5,3,2,2013,7
1994,4,2,3,1969,4
2583,3,1,3,1957,6
1702,2,3,3,1988,6
1461,4,1,1,2016,4
1011,5,2,3,2021,4
2179,2,3,2,1963,4
2707,5,1,2,1970,5
1476,3,2,3,1986,3
1938,5,2,1,2016,3
1400,2,3,1,1975,3
1807,3,2,3,1981,4
1176,4,3,1,1952,3
2364,5,2,3,2005,5
1056,3,1,1,1973,3
2878,3,1,1,2009,5
2875,4,2,3,1965,8
1447,4,1,2,1974,4
1202,2,2,2,2013,3
2720,3,2,2,1988,5
2656,3,2,2,1997,7
1737,2,2,2,2017,5
1201,5,3,2,1997,3
2353,3,1,3,1954,5
1362,3,1,1,2010,4
1891,5,1,2,2001,4
1453,4,3,2,2004,5
1355,4,2,1,1953,5
1215,4,3,3,2014,3
1971,2,1,3,2016,5
1554,5,2,3,1989,3
1886,4,2,1,1960,3
1022,2,2,3,2019,2
1154,5,1,2,1969,3
2209,4,1,2,1969,4
1248,3,3,3,1989,4
1748,3,1,1,1983,5
1804,4,2,3,1956,6
1133,4,2,1,1996,4
1320,2,1,2,1997,5
1389,3,2,2,1978,4
1433,5,2,3,1996,4
2045,4,3,1,1951,6
1872,5,2,2,1953,4
2623,4,2,1,2004,6
2688,3,1,2,1970,7
2148,4,1,3,2016,5
2102,5,2,3,1990,5
1857,3,3,2,1999,4
2991,4,3,2,1975,9
1050,3,2,1,1970,2
2751,2,2,2,1969,6
1175,5,2,3,2001,5
1869,4,2,2,1996,6
1252,4,3,3,2020,3
1965,4,3,1,1972,5
2269,5,3,2,1966,7
1738,2,3,3,1980,5
2129,5,2,3,2021,6
2216,4,3,3,1990,6
2339,5,3,1,1957,6
1301,4,3,3,1972,1
1547,5,1,1,1977,5
2977,3,2,1,2020,6
1715,5,3,2,2000,4
2957,4,2,1,2002,7
1778,4,2,2,1990,4
1267,5,2,2,1976,3
2193,5,1,2,1996,8
2009,3,1,3,1964,6
1550,2,3,2,1953,4
2478,2,2,3,1985,7
2674,3,1,2,1955,8
2315,2,2,2,1971,5
2587,2,3,3,2017,6
2822,4,2,2,2009,7
2824,4,1,2,1975,7
2164,4,2,3,1960,5
2169,5,3,3,1999,7
2448,5,3,3,1957,6
1313,2,1,2,2017,2
1183,5,2,1,1994,5
2687,4,1,3,2020,8
1712,5,1,2,1994,7
1127,2,1,1,2014,5
2310,4,1,1,1965,5
2846,2,1,2,1995,6
2276,5,1,1,1952,4
2801,3,2,3,2009,6
1699,3,1,2,1992,5
1385,4,1,2,1982,2
2253,2,2,3,2020,6
1270,3,3,1,1964,4
2794,3,2,2,2021,6
1810,4,2,2,1974,5
1414,4,3,3,1950,5
1197,2,2,2,2013,2
2346,3,3,2,1965,5
2079,2,1,2,2005,5
1830,2,2,3,1961,4
2226,4,3,2,1957,3
2806,2,1,3,2021,7
2644,5,3,2,2015,6
1627,2,3,1,1990,3
1603,3,3,1,2009,3
2161,2,2,2,1969,4
2445,5,1,2,2007,6
2838,5,3,3,2001,8
2080,3,1,1,1999,6
2585,3,3,1,1977,6
2009,2,3,2,2015,4
1070,5,2,2,2016,4
1910,5,1,3,1986,6
2937,2,3,3,2013,8
1593,3,3,3,1978,3
2395,5,1,2,2005,4
2640,2,3,2,1956,8
1599,3,2,3,1993,5
1513,2,2,1,2008,4
2895,3,2,2,1991,6
1083,3,3,2,1967,3
1993,5,2,2,1994,4
2066,4,3,3,2007,4
2689,5,2,2,1975,6
1838,2,1,2,1962,4
2957,3,2,1,1985,6
1605,5,1,3,2015,4
1809,3,2,3,1982,6
1132,5,3,3,1977,3
2418,2,1,3,1995,7
2088,2,1,2,1972,5
1289,2,3,3,1972,4
1375,5,1,2,1993,3
1768,4,1,2,1988,6
1466,2,3,3,2002,4
2921,5,1,3,1972,7
2236,4,1,2,2002,6
2171,5,3,1,2021,5
2596,5,1,1,1972,7
1470,2,3,3,1998,3
1148,4,1,2,1990,3
1087,5,3,2,2000,3
2347,5,2,3,1977,5
2918,5,1,1,1964,6
1395,5,1,1,1970,3
1789,2,2,1,1955,4
2427,5,2,3,1957,5
2105,4,3,3,1982,5
2664,3,1,1,1970,7
2309,4,1,3,2017,5
2405,5,3,2,1958,6
1864,5,2,1,1977,7
2815,4,1,3,1987,8
2293,3,2,2,1974,4
2315,2,3,2,1970,6
2476,3,1,1,1969,5
2738,3,3,2,1965,5
1023,3,3,2,1951,3
1955,4,1,3,1996,6
2886,3,2,2,1985,8
1310,2,2,1,1986,2
2484,5,3,1,1960,6
2231,4,3,3,1956,5
2815,4,2,3,1990,5
2740,3,3,3,1956,7
1663,5,3,1,2002,3
1437,5,1,3,2012,4
2561,5,3,1,2009,7
1705,4,3,1,1990,5
2359,2,1,3,1982,5
1421,5,2,2,1957,4
2773,4,1,3,2021,7
1320,3,2,1,1950,4
2520,5,1,2,2010,6
1586,3,3,3,1981,5
1946,5,2,2,1952,6
2186,3,1,1,2018,6
2834,4,1,3,1993,5
2564,3,2,3,1963,5
2188,4,2,2,1999,6
1848,3,2,3,1973,5
2721,3,2,2,2002,7
2589,3,1,2,1973,7
2318,5,2,1,1958,7
1041,2,2,3,1993,3
2947,2,2,2,1989,5
2308,5,3,2,1964,8
1938,3,2,2,1979,5
1386,3,3,2,1991,4
2161,5,2,1,1962,3
2210,4,2,3,2009,6
1909,4,1,3,1970,4
1715,5,1,1,1950,4
1430,2,1,3,2007,3
1553,4,1,1,1965,5
2885,5,2,3,1978,9
2439,4,3,2,1984,6
1799,5,2,1,2006,5
1425,4,2,3,1976,4
2439,4,2,2,2009,5
1025,5,1,1,2007,1
2394,2,2,2,1956,7
1384,2,2,1,1997,4
1055,4,3,1,1989,3
2276,4,1,1,1959,7
1633,2,3,2,1971,3
1105,5,3,3,1982,3
2153,3,2,3,2012,5
1848,4,3,1,1970,5
1669,3,3,1,1987,5
1375,4,2,3,1998,5
